,RMNH.INS.1271298_An_messeae - ND2 gene,RMNH.INS.1271299_An_messeae - ND2 gene,RMNH.INS.1271300_An_messeae - ND2 gene,RMNH.INS.1271301_Cq_richiardii - ND2 gene,RMNH.INS.1271302_Cq_richiardii - ND2 gene,RMNH.INS.1271303_Cq_richiardii - ND2 gene,RMNH.INS.1271304_Ae_vexans - ND2 gene,RMNH.INS.1271305_Ae_vexans - ND2 gene,RMNH.INS.1271306_Ae_vexans - ND2 gene,RMNH.INS.1271307_Cs_annulata - ND2 gene,RMNH.INS.1271308_Cs_annulata - ND2 gene,RMNH.INS.1271309_Cs_annulata - ND2 gene,RMNH.INS.1271310_An_claviger - ND2 gene,RMNH.INS.1271311_An_claviger - ND2 gene,RMNH.INS.1271312_An_claviger - ND2 gene,RMNH.INS.1271313_Cx_modestus - ND2 gene,RMNH.INS.1271314_Cx_modestus - ND2 gene,RMNH.INS.1271315_Cx_modestus - ND2 gene,RMNH.INS.1271316_Cx_territans - ND2 gene,RMNH.INS.1271317_Cx_territans - ND2 gene,RMNH.INS.1271318_Cx_territans - ND2 gene,RMNH.INS.1271319_Ae_cinereus - ND2 gene,RMNH.INS.1271320_Ae_cinereus - ND2 gene,RMNH.INS.1271321_Ae_cinereus - ND2 gene,RMNH.INS.1271322_Cs_longiareolata - ND2 gene,RMNH.INS.1271323_Cs_longiareolata - ND2 gene,RMNH.INS.1271324_Cs_longiareolata - ND2 gene,RMNH.INS.1271325_Ae_annulipes_cantans - ND2 gene,RMNH.INS.1271326_Ae_annulipes_cantans - ND2 gene,RMNH.INS.1271327_Ae_annulipes_cantans - ND2 gene,RMNH.INS.1271328_Ae_annulipes_cantans - ND2 gene,RMNH.INS.1271329_Ae_annulipes_cantans - ND2 gene,RMNH.INS.1271330_Ae_annulipes_cantans - ND2 gene,RMNH.INS.1271331_Ae_rusticus - ND2 gene,RMNH.INS.1271332_Ae_rusticus - ND2 gene,RMNH.INS.1271333_Ae_rusticus - ND2 gene,RMNH.INS.1271334_Ae_communis - ND2 gene,RMNH.INS.1271335_Ae_communis - ND2 gene,RMNH.INS.1271336_Ae_communis - ND2 gene,RMNH.INS.1271337_Ae_punctor - ND2 gene,RMNH.INS.1271338_Ae_rusticus - ND2 gene,RMNH.INS.1271339_Ae_punctor - ND2 gene,RMNH.INS.1271340_Ae_geniculatus - ND2 gene,RMNH.INS.1271341_Ae_geniculatus - ND2 gene,RMNH.INS.1271342_Ae_geniculatus - ND2 gene,RMNH.INS.1271344_Cs_subochrea - ND2 gene,RMNH.INS.1271345_Cs_annulata - ND2 gene,RMNH.INS.1271346_Ae_caspius - ND2 gene,RMNH.INS.1271347_Ae_caspius - ND2 gene,RMNH.INS.1271348_Ae_caspius - ND2 gene,RMNH.INS.1271349_An_plumbeus_partial_genome - ND2 gene,RMNH.INS.1271350_An_plumbeus_partial_genome - ND2 gene,RMNH.INS.1271351_An_plumbeus_partial_genome - ND2 gene,RMNH.INS.1271352_Cs_annulata - ND2 gene,RMNH.INS.1271354_Cs_annulata - ND2 gene,RMNH.INS.1271355_Cx_pipiens - ND2 gene,RMNH.INS.1271356_Cx_pipiens - ND2 gene,RMNH.INS.1271357_Cx_pipiens - ND2 gene,RMNH.INS.1271358_Cs_morsitans - ND2 gene,RMNH.INS.1271359_Cs_morsitans - ND2 gene,RMNH.INS.1271360_Cs_morsitans - ND2 gene,RMNH.INS.1271361_Ae_sticticus - ND2 gene,RMNH.INS.1271362_Ae_sticticus - ND2 gene,RMNH.INS.1271363_Ae_sticticus - ND2 gene,RMNH.INS.1271367_Ae_detritus - ND2 gene,RMNH.INS.1271368_Ae_detritus - ND2 gene,RMNH.INS.1271369_Ae_caspius - ND2 gene,RMNH.INS.1271370_Ae_flavescens - ND2 gene,RMNH.INS.1271371_Ae_flavescens - ND2 gene,RMNH.INS.1271372_Ae_flavescens - ND2 gene,RMNH.INS.1271375_Ae_leucomelas - ND2 gene,RMNH.INS.1271376_Ae_albopictus - ND2 gene,RMNH.INS.1271377_Ae_albopictus - ND2 gene,RMNH.INS.1271378_Ae_albopictus - ND2 gene,RMNH.INS.1271379_Ae_japonicus - ND2 gene,RMNH.INS.1271380_Ae_japonicus - ND2 gene,RMNH.INS.1271381_Ae_japonicus - ND2 gene,RMNH.INS.1271382_Ae_aegypti - ND2 gene,RMNH.INS.1271383_Ae_aegypti - ND2 gene,RMNH.INS.1271384_Ae_aegypti - ND2 gene,RMNH.INS.1271386_Ae_cinereus - ND2 gene,RMNH.INS.1271389_Cs_ochroptera - ND2 gene
RMNH.INS.1271298_An_messeae - ND2 gene,,99.708,99.028,79.24,79.142,79.045,80.799,80.702,80.897,80.994,80.897,80.897,88.596,88.694,88.596,79.142,79.045,79.24,78.265,78.168,78.46,78.973,78.973,78.973,79.435,79.435,79.435,81.092,80.799,81.189,81.092,81.092,81.092,81.676,81.676,81.676,81.579,81.676,81.676,79.142,81.676,79.142,82.066,82.066,82.066,79.922,80.897,81.969,81.774,81.774,87.232,87.232,87.232,80.897,80.897,79.727,79.63,79.63,80.994,80.897,80.897,80.897,80.702,80.799,80.994,81.481,81.774,81.189,81.189,81.189,80.604,81.481,81.481,81.579,80.409,80.409,80.214,81.189,81.579,81.481,79.167,80.897
RMNH.INS.1271299_An_messeae - ND2 gene,99.708,,99.125,79.337,79.24,79.142,81.092,80.994,81.189,81.189,81.092,81.092,88.889,88.986,88.889,79.435,79.142,79.337,78.558,78.46,78.752,79.167,79.167,79.167,79.532,79.532,79.532,81.189,80.897,81.287,81.189,81.189,81.189,81.969,81.969,81.969,81.676,81.774,81.774,79.435,81.969,79.435,82.359,82.359,82.359,80.117,81.092,82.261,82.066,82.066,87.427,87.427,87.427,81.092,81.092,79.825,79.727,79.727,81.287,81.189,81.189,80.994,80.799,80.897,81.287,81.774,82.066,81.481,81.481,81.481,80.897,81.774,81.774,81.871,80.312,80.312,80.312,81.287,81.871,81.579,79.36,81.189
RMNH.INS.1271300_An_messeae - ND2 gene,99.028,99.125,,78.912,78.814,78.717,80.855,80.758,80.952,80.758,80.661,80.661,88.241,88.338,88.241,79.009,78.717,78.912,78.134,78.037,78.328,78.937,78.937,78.937,79.3,79.3,79.3,80.952,80.661,81.05,80.952,80.952,80.952,81.633,81.633,81.633,81.535,81.633,81.633,79.106,81.633,79.106,82.021,82.021,82.021,79.786,80.661,81.924,81.73,81.73,87.172,87.172,87.172,80.661,80.661,79.883,79.786,79.786,80.855,80.758,80.758,80.952,80.758,80.855,81.244,81.73,81.73,81.244,81.244,81.244,80.855,81.438,81.438,81.535,80.175,80.175,80.175,81.244,81.633,81.535,79.13,80.855
RMNH.INS.1271301_Cq_richiardii - ND2 gene,79.24,79.337,78.912,,99.903,99.805,82.359,82.456,82.456,84.308,84.308,84.308,80.019,80.019,80.019,83.821,83.723,83.918,82.749,82.651,82.943,81.977,81.977,81.977,84.113,84.113,84.113,84.016,83.626,83.626,83.821,84.113,83.918,83.041,83.041,83.041,83.528,83.626,83.626,81.189,83.041,81.189,84.503,84.503,84.503,83.333,84.308,84.503,84.503,84.503,78.85,78.85,78.85,84.308,84.308,83.918,83.821,83.821,84.503,84.6,84.6,82.943,82.749,82.846,84.016,84.503,84.503,84.113,84.113,83.918,82.359,83.528,83.528,83.528,83.333,83.333,83.431,83.236,83.918,83.236,81.88,85.575
RMNH.INS.1271302_Cq_richiardii - ND2 gene,79.142,79.24,78.814,99.903,,99.903,82.456,82.554,82.554,84.405,84.405,84.405,79.922,79.922,79.922,83.723,83.626,83.821,82.651,82.554,82.846,81.88,81.88,81.88,84.211,84.211,84.211,83.918,83.528,83.528,83.723,84.016,83.821,82.943,82.943,82.943,83.431,83.528,83.528,81.092,82.943,81.092,84.405,84.405,84.405,83.431,84.405,84.6,84.6,84.6,78.752,78.752,78.752,84.405,84.405,83.821,83.723,83.723,84.405,84.503,84.503,82.846,82.651,82.749,83.918,84.405,84.6,84.016,84.016,83.821,82.261,83.431,83.431,83.431,83.236,83.236,83.333,83.138,83.821,83.138,81.783,85.478
RMNH.INS.1271303_Cq_richiardii - ND2 gene,79.045,79.142,78.717,99.805,99.903,,82.359,82.456,82.456,84.308,84.308,84.308,80.019,80.019,80.019,83.626,83.528,83.723,82.749,82.651,82.943,81.88,81.88,81.88,84.211,84.211,84.211,84.016,83.626,83.626,83.821,84.113,83.918,82.846,82.846,82.846,83.333,83.431,83.431,81.189,82.846,81.189,84.503,84.503,84.503,83.333,84.308,84.6,84.6,84.6,78.85,78.85,78.85,84.308,84.308,83.918,83.821,83.821,84.503,84.6,84.6,82.943,82.749,82.846,83.821,84.308,84.6,84.113,84.113,83.918,82.261,83.528,83.528,83.528,83.333,83.333,83.431,83.236,83.723,83.041,81.783,85.38
RMNH.INS.1271304_Ae_vexans - ND2 gene,80.799,81.092,80.855,82.359,82.456,82.359,,99.903,99.903,86.55,86.452,86.452,80.214,80.312,80.214,86.257,85.77,85.77,84.893,84.893,85.088,91.085,91.085,91.085,85.185,85.185,85.185,90.156,90.253,90.351,90.351,90.448,90.448,90.546,90.546,90.546,89.376,89.474,89.474,88.207,90.546,88.207,91.131,91.131,91.131,85.185,86.452,91.228,91.131,91.228,80.019,80.019,80.019,86.452,86.452,85.867,85.965,85.965,86.16,86.062,86.062,89.864,89.864,90.058,89.474,89.864,91.131,89.474,89.474,89.474,89.474,87.914,87.914,88.012,88.791,88.791,89.084,88.596,88.791,88.694,91.279,87.135
RMNH.INS.1271305_Ae_vexans - ND2 gene,80.702,80.994,80.758,82.456,82.554,82.456,99.903,,99.805,86.452,86.355,86.355,80.312,80.409,80.312,86.355,85.673,85.673,84.795,84.795,84.99,90.988,90.988,90.988,85.283,85.283,85.283,90.058,90.156,90.253,90.253,90.351,90.351,90.448,90.448,90.448,89.279,89.376,89.376,88.109,90.448,88.109,91.033,91.033,91.033,85.088,86.355,91.228,91.131,91.228,79.922,79.922,79.922,86.355,86.355,85.77,85.867,85.867,86.062,85.965,85.965,89.766,89.766,89.961,89.376,89.766,91.131,89.376,89.376,89.376,89.474,87.817,87.817,87.914,88.694,88.694,88.986,88.499,88.694,88.596,91.182,87.037
RMNH.INS.1271306_Ae_vexans - ND2 gene,80.897,81.189,80.952,82.456,82.554,82.456,99.903,99.805,,86.647,86.55,86.55,80.312,80.409,80.312,86.355,85.673,85.867,84.99,84.99,85.185,91.182,91.182,91.182,85.283,85.283,85.283,90.253,90.351,90.448,90.448,90.546,90.546,90.643,90.643,90.643,89.474,89.571,89.571,88.109,90.643,88.109,91.228,91.228,91.228,85.283,86.55,91.326,91.228,91.326,80.117,80.117,80.117,86.55,86.55,85.965,86.062,86.062,86.257,86.16,86.16,89.961,89.961,90.156,89.571,89.961,91.228,89.571,89.571,89.571,89.571,88.012,88.012,88.109,88.889,88.889,88.986,88.694,88.889,88.791,91.376,87.232
RMNH.INS.1271307_Cs_annulata - ND2 gene,80.994,81.189,80.758,84.308,84.405,84.308,86.55,86.452,86.647,,99.708,99.708,80.897,80.994,80.897,86.257,85.965,86.16,84.308,84.308,84.503,86.24,86.24,86.24,88.694,88.694,88.694,86.94,86.647,86.55,86.94,86.842,86.842,86.452,86.452,86.452,86.842,86.94,86.745,84.113,86.452,84.113,87.427,87.427,87.427,95.419,99.708,89.571,89.571,89.571,79.922,79.922,79.922,99.708,99.708,84.99,84.893,84.893,88.499,88.402,88.402,86.647,86.452,86.647,87.427,87.427,89.571,87.427,87.427,87.232,85.673,85.965,85.965,86.062,86.94,86.94,87.135,85.575,86.062,85.77,86.337,89.571
